Year,Registration,VAP Turnout,Voting age population,Compulsory Voting,Election Type,Voter Turnout
1956,103290.0,0.49439999999999995,125950.0,0,Parliamentary,0.6029
1951,95939.0,0.5318999999999999,116600.0,0,Parliamentary,0.6465000000000001
2024,6912221.0,0.6597,7657707.0,0,Parliamentary,0.7309
2019,6880605.0,0.6894,7716337.0,0,Parliamentary,0.7731
2016,6978490.0,0.6684,7797893.0,0,Parliamentary,0.7468
2012,7022221.0,0.6592,7904831.0,0,Parliamentary,0.742
2008,7016711.0,0.6956,7741235.0,0,Parliamentary,0.7674
2004,6986163.0,0.8243,7640118.0,0,Parliamentary,0.9014
2000,7254752.0,0.5824,7607585.0,0,Parliamentary,0.6108
1995,7445800.0,0.5488000000000001,7652340.0,0,Parliamentary,0.564
2025,6903994.0,0.8049,7351426.0,0,Presidential,0.857
2020,6904649.0,0.7569,7688370.0,0,Presidential,0.8428
2015,7008682.0,0.7807999999999999,7828768.0,0,Presidential,0.8722
2010,7105660.0,0.8166,7887472.0,0,Presidential,0.9065000000000001
2006,7133978.0,0.8618000000000001,7694370.0,0,Presidential,0.9294
2001,7356343.0,0.8134,7584762.0,0,Presidential,0.8386
1994,7476205.0,0.6888,7662700.0,0,Presidential,0.706
1994,7476586.0,0.7705,7662700.0,0,Presidential,0.7897
2024,8368029.0,0.7582,9648566.0,1,Parliamentary,0.8742
2019,8167709.0,0.7794,9261362.0,1,Parliamentary,0.8837999999999999
2014,8008776.0,0.8721,8206762.0,1,Parliamentary,0.8937
2010,7767552.0,0.8465,8186446.0,1,Parliamentary,0.8922
2007,7720796.0,0.86,8176805.0,1,Parliamentary,0.9107999999999999
2003,7570637.0,0.8592,8070793.0,1,Parliamentary,0.9163
1999,7343466.0,0.8314,7999572.0,1,Parliamentary,0.9057
1995,7199440.0,0.8320000000000001,7887360.0,1,Parliamentary,0.9115000000000001
1991,7144884.0,0.851,7783620.0,1,Parliamentary,0.9270999999999999
1987,7039250.0,0.8649,7599900.0,1,Parliamentary,0.9338
1985,7001297.0,0.8632,7590660.0,1,Parliamentary,0.9359000000000001
1981,6878141.0,0.9431,6896400.0,1,Parliamentary,0.9456
1978,6366652.0,0.8778,6881000.0,1,Parliamentary,0.9487000000000001
1977,6316292.0,0.8991,6678960.0,1,Parliamentary,0.9506999999999999
1974,6322227.0,0.8571,6664000.0,1,Parliamentary,0.9035
1971,6271240.0,0.8861,6478900.0,1,Parliamentary,0.9155
1968,6170167.0,0.8618000000000001,6445400.0,1,Parliamentary,0.9002
1965,6091534.0,0.8802,6338200.0,1,Parliamentary,0.9158
1961,6036165.0,0.8795999999999999,6336960.0,1,Parliamentary,0.9234
1958,5954858.0,0.8925,6246570.0,1,Parliamentary,0.9362
1954,5863092.0,0.885,6173300.0,1,Parliamentary,0.9318000000000001
1950,5635452.0,0.8631,6047300.0,1,Parliamentary,0.9262
1949,5635452.0,0.8823000000000001,6029800.0,1,Parliamentary,0.9440999999999999
1946,2724796.0,0.4201,5856900.0,1,Parliamentary,0.903
2024,8461438.0,0.7746999999999999,9809136.0,1,EU Parliament,0.8992
2019,8122985.0,0.7759999999999999,9261362.0,1,EU Parliament,0.8847
2014,7948854.0,0.8682,8206928.0,1,EU Parliament,0.8964
2009,7760436.0,0.8393999999999999,8356666.0,1,EU Parliament,0.9039
2004,7552240.0,0.8456,8110168.0,1,EU Parliament,0.9081
1999,7343464.0,0.8451000000000001,7912208.0,1,EU Parliament,0.9105
1994,7211311.0,0.8403,7780372.0,1,EU Parliament,0.9066
1989,7096273.0,0.8498,7577049.0,1,EU Parliament,0.9073
1984,6975855.0,0.8734999999999999,7354192.0,1,EU Parliament,0.9209
1979,6800584.0,0.8669,7166956.0,1,EU Parliament,0.9136
2025,197018.0,0.506,252966.0,0,Parliamentary,0.6496999999999999
2020,182815.0,0.6129,244148.0,0,Parliamentary,0.8186
2015,196587.0,0.7021,203524.0,0,Parliamentary,0.7269
2012,178054.0,0.6643000000000001,196152.0,0,Parliamentary,0.7318000000000001
2008,156993.0,0.7654000000000001,158314.0,0,Parliamentary,0.7718
2003,126202.0,0.7508,133669.0,0,Parliamentary,0.7951999999999999
1998,90000.0,0.6574,123349.0,0,Parliamentary,0.9009999999999999
1993,94470.0,0.6875,102500.0,0,Parliamentary,0.7459
1989,82556.0,0.6686,89670.0,0,Parliamentary,0.7262000000000001
1984,64447.0,0.6589,73320.0,0,Parliamentary,0.7495999999999999
1979,50091.0,0.6884999999999999,65320.0,0,Parliamentary,0.8978
2023,6769817.0,0.3737,6845746.0,0,Parliamentary,0.3779
2019,4992399.0,0.22719999999999999,5967849.0,0,Parliamentary,0.2716
2015,4470000.0,0.5669,5196462.0,0,Parliamentary,0.6591
2011,3629837.0,0.44770000000000004,4550388.0,0,Parliamentary,0.5611999999999999
